predictor_label,test_index,feasible,recourse_band,original_score_band,solver_status,solver_family,original_score,new_score,total_cost,n_changed_features,changed_features,validity_reconstructed_score,validity_passes_threshold
xcreditscore_lattice,0,True,feasible,moderate_risk,gurobi_exact:Optimal,gurobi_exact,0.48150479793548584,0.27631351351737976,0.16360152258116958,3,"{""NumSatisfactoryTrades"": 0.08016877637130798, ""PercentTradesNeverDelq"": 0.029618081681465847, ""MSinceMostRecentInqexcl7days"": 0.1111111111111111}",0.27631351351737976,True
xcreditscore_lattice,2,False,infeasible,very_high_risk,gurobi_exact:Optimal|refined_32,gurobi_exact,0.6388004422187805,0.4518616497516632,0.28938911784477395,4,"{""NumSatisfactoryTrades"": 0.01848101265822788, ""PercentTradesNeverDelq"": 0.15000000000000002, ""MSinceMostRecentDelq"": 0.1951807228915663, ""RevolvingBurdenPerTrade"": -0.0017241379310344862}",0.4518616497516632,False
xcreditscore_lattice,4,True,feasible,high_risk,gurobi_exact:Optimal|refined_1,gurobi_exact,0.5477101802825928,0.41837936639785767,0.05603651193378791,1,"{""MSinceMostRecentInqexcl7days"": 0.08741587202772294}",0.41837936639785767,True
xcreditscore_lattice,5,True,feasible,moderate_risk,gurobi_exact:Optimal,gurobi_exact,0.5095756649971008,0.26699650287628174,0.22262807534154602,4,"{""PercentTradesNeverDelq"": 0.06999999999999995, ""MSinceMostRecentDelq"": 0.10707191238755676, ""PercentInstallTrades"": 0.0222222222222222, ""MSinceMostRecentInqexcl7days"": 0.1111111111111111}",0.26699650287628174,True
xcreditscore_lattice,7,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_32,gurobi_exact,0.8046649694442749,0.629161536693573,0.289852108703155,4,"{""PercentTradesNeverDelq"": 0.18999999999999906, ""MSinceMostRecentInqexcl7days"": 0.07000000000000003, ""NetFractionRevolvingBurden"": -0.03706896551724137, ""NumRevolvingTradesWBalance"": -0.0062500000000000056}",0.629161536693573,False
xcreditscore_lattice,8,True,feasible,near_threshold,gurobi_exact:Optimal,gurobi_exact,0.4691530764102936,0.3049193322658539,0.0881836620025291,2,"{""ExternalRiskEstimate"": 0.005972569983356046, ""MSinceMostRecentInqexcl7days"": 0.1111111111111111}",0.3049193322658539,True
xcreditscore_lattice,10,False,infeasible,very_high_risk,gurobi_exact:Optimal|refined_32,gurobi_exact,0.925273060798645,0.6595300436019897,1.1986919220734644,10,"{""NumSatisfactoryTrades"": 0.1848101265822785, ""PercentTradesNeverDelq"": 0.12, ""MSinceMostRecentDelq"": 0.19518072289156627, ""PercentInstallTrades"": -0.08000000000000007, ""MSinceMostRecentInqexcl7days"": 0.1111111111111111, ""NumInqLast6M"": -0.05555555555555558, ""NumInqLast6Mexcl7days"": -0.05296243843950185, ""NetFractionInstallBurden"": -0.048979591836734726, ""RevolvingBurdenPerTrade"": -0.038793103448275856, ""InstallBurdenPerTrade"": -0.017142857142857126}",0.6595300436019897,False
xcreditscore_lattice,11,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_32,gurobi_exact,0.7651199102401733,0.5005301237106323,0.23280221021227662,4,"{""NumSatisfactoryTrades"": 0.05544303797468356, ""MSinceMostRecentDelq"": 0.0487951807228916, ""MSinceMostRecentInqexcl7days"": 0.12000000000000005, ""PercentTradesWBalance"": -0.13500000000000012}",0.5005301237106323,False
xcreditscore_lattice,12,True,feasible,very_high_risk,gurobi_exact:Optimal,gurobi_exact,0.8279648423194885,0.41143670678138733,0.7088460170312465,5,"{""NumSatisfactoryTrades"": 0.09282700421940926, ""PercentTradesNeverDelq"": 0.17999999999999994, ""MSinceMostRecentInqexcl7days"": 0.1111111111111111, ""NetFractionRevolvingBurden"": -0.17403529087171027, ""PercentTradesWBalance"": -0.2533333333333334}",0.41143670678138733,True
xcreditscore_lattice,13,True,feasible,near_threshold,gurobi_exact:Optimal,gurobi_exact,0.42252564430236816,0.2901277542114258,0.08592379622191895,3,"{""NumSatisfactoryTrades"": 0.002574087564030214, ""PercentTradesNeverDelq"": 0.040000000000000036, ""MSinceMostRecentInqexcl7days"": 0.06944444444444445}",0.2901277542114258,True
